"","Skipaskrárnúmer","Lengd","Brúttórúmmál","Brúttótonn","WSA","gerd"
"932",7183,7.99,5.58,4.89,37.1262909036385,"litlir"
"933",7185,8.25,5.9,5.22,38.6149318659687,"litlir"
"934",7189,7.36,3.43,2.96,27.4432309295631,"litlir"
"935",7190,8.53,6.54,5.98,41.9074989533446,"litlir"
"936",7191,7.99,6.23,5.29,38.925835648078,"litlir"
"937",7194,9.27,7.23,7.14,46.6276957038899,"litlir"
"938",7196,7.92,5.68,4.86,36.9890062922887,"litlir"
"939",7201,7.95,4.64,4.83,36.8513839842351,"litlir"
"940",7202,8.46,6.86,4.97,37.4907541051376,"litlir"
"941",7206,7.36,2.18,2.64,25.6167006970791,"litlir"
"942",7207,7.27,0,3.98,32.797990781455,"litlir"
"943",7211,7.99,5.82,5.2,38.5257979778181,"litlir"
"944",7213,7.98,5.26,5.1,38.078065456771,"litlir"
"945",7214,8.04,5.9,5.09,38.0331008527508,"litlir"
